,MDS-UPDRS Prediction target,Feature,Type,Best performing model,Best performing parcellation,R2,RMSE,AUC,PPV,NPV,Spec.,Sens.
0,Baseline,fALFF,Workflow K,Gradient Boosting,BASC444,-0.011,16.11,0.589,51.6%,66.7%,69.4%,48.5%
0,Baseline,fALFF,Workflow K,Gradient Boosting,Schaefer,0.007,15.96,0.534,44.8%,62.3%,67.3%,39.4%
0,Baseline,fALFF,Workflow K,SVM,BASC197,-0.403,18.97,0.514,43.8%,60.6%,81.6%,21.2%
0,Baseline,fALFF,Workflow K,SVM,BASC444,-0.269,18.05,0.468,36.4%,57.1%,57.1%,36.4%
0,Baseline,fALFF,Workflow K,SVM,Schaefer,-0.985,22.57,0.459,0.0%,57.7%,91.8%,0.0%
0,Baseline,fALFF,Workflow K,Random Forest,BASC197,0.099,15.21,0.549,50.0%,62.9%,79.6%,30.3%
0,Baseline,fALFF,Workflow K,Random Forest,BASC444,0.041,15.69,0.544,46.4%,63.0%,69.4%,39.4%
0,Baseline,fALFF,Workflow K,Random Forest,Schaefer,-0.024,16.21,0.452,34.4%,56.0%,57.1%,33.3%
0,Baseline,ReHo,original,Gradient Boosting,Schaefer,0.304,13.415,0.674,59.4%,75.0%,73.5%,61.3%
0,Baseline,ReHo,"Workflow A 
 (default)",ElasticNet,BASC197,0.102,15.18,0.691,64.5%,74.5%,77.6%,60.6%
0,Baseline,ReHo,"Workflow A 
 (default)",ElasticNet,BASC444,0.117,15.05,0.635,55.9%,70.8%,69.4%,57.6%
0,Baseline,ReHo,"Workflow A 
 (default)",ElasticNet,Schaefer,0.086,15.32,0.64,58.1%,70.6%,73.5%,54.5%
0,Baseline,ReHo,"Workflow A 
 (default)",Gradient Boosting,BASC197,-0.013,16.13,0.64,61.5%,69.6%,79.6%,48.5%
0,Baseline,ReHo,"Workflow A 
 (default)",Gradient Boosting,BASC444,-0.001,16.03,0.64,61.5%,69.6%,79.6%,48.5%
0,Baseline,ReHo,"Workflow A 
 (default)",Gradient Boosting,Schaefer,-0.022,16.19,0.564,48.4%,64.7%,67.3%,45.5%
0,Baseline,ReHo,"Workflow A 
 (default)",SVM,BASC197,-0.904,22.11,0.459,22.2%,57.5%,85.7%,6.1%
0,Baseline,ReHo,"Workflow A 
 (default)",SVM,BASC444,-0.914,22.16,0.453,31.8%,56.7%,69.4%,21.2%
0,Baseline,ReHo,"Workflow A 
 (default)",SVM,Schaefer,-0.425,19.12,0.646,72.2%,68.8%,89.8%,39.4%
0,Baseline,ReHo,"Workflow A 
 (default)",Random Forest,BASC197,0.04,15.7,0.595,56.5%,66.1%,79.6%,39.4%
0,Baseline,ReHo,"Workflow A 
 (default)",Random Forest,BASC444,0.113,15.08,0.732,74.1%,76.4%,85.7%,60.6%
0,Baseline,ReHo,"Workflow A 
 (default)",Random Forest,Schaefer,0.026,15.81,0.544,47.8%,62.7%,75.5%,33.3%
0,Baseline,ReHo,Workflow B,ElasticNet,BASC197,0.106,14.68,0.687,64.3%,73.3%,74.6%,62.8%
0,Baseline,ReHo,Workflow B,ElasticNet,BASC444,0.11,14.65,0.638,58.1%,69.5%,69.5%,58.1%
0,Baseline,ReHo,Workflow B,ElasticNet,Schaefer,0.051,15.13,0.675,63.4%,72.1%,74.6%,60.5%
0,Baseline,ReHo,Workflow B,Gradient Boosting,BASC197,0.009,15.46,0.604,53.2%,67.3%,62.7%,58.1%
0,Baseline,ReHo,Workflow B,Gradient Boosting,BASC444,0.026,15.33,0.71,65.9%,75.9%,74.6%,67.4%
0,Baseline,ReHo,Workflow B,Gradient Boosting,Schaefer,0.107,14.68,0.618,55.8%,67.8%,67.8%,55.8%
0,Baseline,ReHo,Workflow B,SVM,BASC197,-0.549,19.33,0.536,60.0%,59.8%,93.2%,14.0%
0,Baseline,ReHo,Workflow B,SVM,BASC444,-0.265,17.47,0.591,76.9%,62.9%,94.9%,23.3%
0,Baseline,ReHo,Workflow B,SVM,Schaefer,-0.337,17.96,0.65,72.0%,67.5%,88.1%,41.9%
0,Baseline,ReHo,Workflow B,Random Forest,BASC197,0.089,14.83,0.678,62.8%,72.9%,72.9%,62.8%
0,Baseline,ReHo,Workflow B,Random Forest,BASC444,0.107,14.68,0.598,53.5%,66.1%,66.1%,53.5%
0,Baseline,ReHo,Workflow B,Random Forest,Schaefer,0.124,14.53,0.652,61.5%,69.8%,74.6%,55.8%
0,Baseline,ReHo,Workflow C,ElasticNet,BASC197,0.097,15.22,0.665,61.3%,72.5%,75.5%,57.6%
0,Baseline,ReHo,Workflow C,ElasticNet,BASC444,0.118,15.05,0.63,56.2%,70.0%,71.4%,54.5%
0,Baseline,ReHo,Workflow C,ElasticNet,Schaefer,0.082,15.35,0.655,59.4%,72.0%,73.5%,57.6%
0,Baseline,ReHo,Workflow C,Gradient Boosting,BASC197,0.1,15.2,0.747,82.6%,76.3%,91.8%,57.6%
0,Baseline,ReHo,Workflow C,Gradient Boosting,BASC444,-0.014,16.13,0.686,61.8%,75.0%,73.5%,63.6%
0,Baseline,ReHo,Workflow C,Gradient Boosting,Schaefer,-0.068,16.56,0.519,43.5%,61.0%,73.5%,30.3%
0,Baseline,ReHo,Workflow C,SVM,BASC197,-0.778,21.36,0.469,25.0%,58.1%,87.8%,6.1%
0,Baseline,ReHo,Workflow C,SVM,BASC444,-0.851,21.8,0.448,32.0%,56.1%,65.3%,24.2%
0,Baseline,ReHo,Workflow C,SVM,Schaefer,-0.436,19.2,0.636,68.4%,68.3%,87.8%,39.4%
0,Baseline,ReHo,Workflow C,Random Forest,BASC197,0.049,15.63,0.595,56.5%,66.1%,79.6%,39.4%
0,Baseline,ReHo,Workflow C,Random Forest,BASC444,0.127,14.96,0.711,69.0%,75.5%,81.6%,60.6%
0,Baseline,ReHo,Workflow C,Random Forest,Schaefer,0.044,15.66,0.559,50.0%,63.8%,75.5%,36.4%
0,Baseline,ReHo,Workflow D,ElasticNet,BASC197,0.071,15.45,0.665,61.3%,72.5%,75.5%,57.6%
